Sorszám,Neme?,Életkora,Városban lakik?,A legmagasabb iskolai végzettsége,Hányan élnek egy háztartásban?,"Hogy érzi, mennyire boldog? A jelenlegi élethelyzetében a létra melyik fokán áll?",Hogyan érzékeli a szakmai pályafutását? Jelenleg melyik fokon áll karrier szempontjából?,Hogyan érzékeli az egészségi állapotát? Jelenleg  melyik fokon áll egészségileg?,Milyeneknek érzi a baráti kapcsolatait? Jelenleg  melyik fokon áll az emberi kapcsolatokban?,"Milyennek érzékeli a természeti környezetet, amely körülveszi? Jelenleg  melyik fokon áll a környezetével kapcsolatokban?",Megfelelő kikapcsolódási és szórakozási lehetőségei vannak? Jelenleg  melyik fokon áll a kikapcsolódás és szórakozás terén?,Vallásos-e ön?,Hogyan látja a jövőt? A boldogságát tekintve melyik fokon fog állni 5 év múlva?,Hogyan érzékeli az anyagi helyzetét? Jelenleg  melyik fokon áll anyagilag?,Milyeneknek érzi a családi kapcsolatait? Jelenleg  melyik fokon áll a családi kapcsolatokban?,Egy főre jutó nettó jövedelem a háztartásban,Munkaviszonya,Végez hetente legalább 3-szor legkevesebb 30 perc testmozgást?,"Milyen lesz a természeti környezet, amely körülveszi? 5 év múlva melyik fokon fog állni a környezetével kapcsolatokban?",Milyen a spiritualitással való kapcsolata? Jelenleg a létra melyik fokán áll a spiritualitás terén?,"Ha bajba kerül vagy problémája adódik, van-e valaki a családjában vagy a közvetlen környezetében, akinek a segítségére vagy támogatására számíthat?","Melyik székely szék településén van állandó lakhelye? (Az, ahol valóban lakik, nem az, amit a személyazonossági igazolványa ír.)","Szokott-e pénzzel vagy önkéntes munkával segíteni rászorulóknak, esetleg a rászorulókat támogató szervezeteknek? ",Adományozott-e pénzt (bármilyen csekély összeget) az elmúlt hónapban?,"Leggyakrabban (nem a jelen pillanatban) milyen a kedélyállapota? Ha az előző szakaszban említett létrán 0 a mély depresszió és 10 a maximális eufória, akkor jelenleg a létra melyik fokán áll általános kedélyállapotát tekintve?","Az ön közvetlen családjában (szülők, testvérek, házastárs, vagy gyermek) volt-e öngyilkossági kísérlet?","Önnek, személy szerint volt-e öngyilkossági kísérlete?","Úgy érzi, hogy van elég választási szabadsága, amikor fontos élethelyzetekben kell döntenie?",Korruptnak tartja-e a kormányzatot?,Korruptnak tartja-e a székelyföldi politikusokat?,Korruptnak tartja-e a székelyföldi üzletembereket? A helyi gazdasági életben csak korrupcióval lehet érvényesülni?,,
1048,nő,35-44,Igen,középiskola,3,5,3,5,8,5,1,"igen, heti rendszerességgel járok templomba",5,3,8,999 RON alatt,Alkalmazott,igen,5,5,Igen,Kézdiszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,6,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
1049,férfi,25-34,Igen,felsőfokú,egyedül él,2,0,7,1,5,1,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",1,2,7,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,igen,2,6,Igen,Sepsiszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,4,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1050,nő,15-24,Nem,középiskola,4,7,0,10,9,2,0,"igen, heti rendszerességgel járok templomba",8,0,10,999 RON alatt,Tanuló / diák,nem,5,10,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,6,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
1051,férfi,35-44,Nem,felsőfokú,4,8,9,8,4,10,8,"igen, heti rendszerességgel járok templomba",10,9,5,2000 - 2999 RON között,Alkalmazott,nem,10,7,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1052,nő,25-34,Igen,felsőfokú,3,8,6,6,4,5,4,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",7,4,8,1000 - 1999 RON között,Alkalmazott,nem,5,4,Igen,Sepsiszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Igen,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1053,nő,35-44,Nem,felsőfokú,3,8,9,9,4,8,4,"igen, heti rendszerességgel járok templomba",8,6,9,1000 - 1999 RON között,Alkalmazott,igen,7,9,Igen,Gyergyószék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1054,nő,15-24,Nem,középiskola,4,9,9,10,10,10,9,"valamennyire igen, évente többször járok templomba",9,7,10,1000 - 1999 RON között,Tanuló / diák,igen,10,9,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,8,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
1055,nő,25-34,Igen,felsőfokú,2,10,6,10,9,9,8,"igen, heti rendszerességgel járok templomba",10,8,10,1000 - 1999 RON között,Alkalmazott,nem,10,9,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Igen,Nem,Nem,Igen!,Igen!,Igen!,,
1056,nő,45-54,Igen,felsőfokú,3,8,8,9,10,9,10,"valamennyire igen, de nem járok templomba",8,7,10,1000 - 1999 RON között,Alkalmazott,igen,8,7,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,9,Nem,Nem,Nem,Igen!,Igen!,Nem!,,
1057,nő,25-34,Igen,felsőfokú,2,7,7,9,7,7,7,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",9,7,9,2000 - 2999 RON között,Alkalmazott,nem,8,7,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Igen,Nem,Igen,Igen!,Igen!,Nem!,,
1058,nő,25-34,Nem,felsőfokú,3,8,4,10,8,9,7,"igen, heti rendszerességgel járok templomba",9,9,10,1000 - 1999 RON között,Alkalmazott,igen,9,7,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,9,Nem,Nem,Nem,Igen!,Nem!,Nem!,,
1059,férfi,15-24,Igen,középiskola,3,7,1,7,5,9,7,"igen, heti rendszerességgel járok templomba",6,0,9,999 RON alatt,Munkanélküli,igen,9,8,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1060,nő,55-64,Nem,középiskola,2,2,5,5,4,4,3,nem hiszek semmilyen vallásban vagy teremtőben,2,6,8,1000 - 1999 RON között,Alkalmazott,nem,3,5,Igen,Bardóc-Miklósvárszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,3,Igen,Nem,Nem,Igen!,Igen!,Igen!,,
1061,férfi,35-44,Igen,felsőfokú,3,8,8,9,8,7,6,"igen, heti rendszerességgel járok templomba",9,8,8,2000 - 2999 RON között,Alkalmazott,nem,9,9,Igen,Gyergyószék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1062,nő,25-34,Igen,felsőfokú,2,8,6,7,8,6,7,"igen, heti rendszerességgel járok templomba",8,6,8,1000 - 1999 RON között,Alkalmazott,nem,5,2,Igen,Marosszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Nem,8,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
1063,nő,45-54,Nem,középiskola,3,5,2,6,2,3,1,"valamennyire igen, évente többször járok templomba",5,2,6,1000 - 1999 RON között,Alkalmazott,igen,3,4,Igen,Kézdiszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,6,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
1064,férfi,15-24,Igen,középiskola,4,8,7,6,8,6,6,"valamennyire igen, évente többször járok templomba",7,6,8,1000 - 1999 RON között,Tanuló / diák,igen,5,5,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,5,Igen,Nem,Igen,Igen!,Nem!,Nem!,,
1065,nő,15-24,Nem,felsőfokú,5 vagy több,7,8,10,5,8,4,"igen, heti rendszerességgel járok templomba",9,4,8,999 RON alatt,Alkalmazott,igen,8,8,Igen,Udvarhelyszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,9,Igen,Nem,Igen,Igen!,Igen!,Igen!,,
1066,férfi,35-44,Igen,felsőfokú,4,9,8,9,8,9,9,"igen, heti rendszerességgel járok templomba",9,8,9,1000 - 1999 RON között,Alkalmazott,igen,9,9,Igen,Sepsiszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
1067,nő,35-44,Nem,doktori,4,8,5,9,7,10,7,"valamennyire igen, évente többször járok templomba",10,5,6,1000 - 1999 RON között,Alkalmazott,igen,10,10,Igen,Gyergyószék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,9,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
1068,nő,35-44,Igen,középiskola,3,5,3,5,5,5,3,"valamennyire igen, évente többször járok templomba",4,4,7,1000 - 1999 RON között,Alkalmazott,igen,5,3,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,3,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1069,férfi,35-44,Igen,felsőfokú,3,7,5,5,8,5,6,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",6,5,6,1000 - 1999 RON között,Alkalmazott,nem,3,0,Igen,Csíkszék,Soha. Nem hatódom meg az ilyen kérésektől.,Nem,4,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
1070,nő,45-54,Nem,középiskola,2,8,9,7,9,9,9,"igen, heti rendszerességgel járok templomba",9,6,10,1000 - 1999 RON között,Alkalmazott,igen,9,8,Igen,Gyergyószék,Természetesen. Én is tagja vagyok egy ilyen szervezetnek.,Igen,9,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
1071,nő,35-44,Igen,felsőfokú,4,8,9,7,5,7,7,"igen, heti rendszerességgel járok templomba",8,5,8,1000 - 1999 RON között,Alkalmazott,nem,7,7,Igen,Kézdiszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1072,férfi,35-44,Igen,középiskola,3,1,0,6,4,7,5,"valamennyire igen, évente többször járok templomba",3,2,4,999 RON alatt,Alkalmazott,igen,3,9,Nem,Csíkszék,Soha. Nem hatódom meg az ilyen kérésektől.,Nem,4,Igen,Nem,Nem,Igen!,Igen!,Igen!,,
1073,férfi,35-44,Igen,középiskola,egyedül él,3,0,5,6,3,7,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",2,1,0,999 RON alatt,Munkanélküli,igen,1,9,Nem,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Igen,4,Igen,Nem,Nem,Igen!,Igen!,Igen!,,
1074,nő,25-34,Igen,felsőfokú,4,8,6,10,8,10,4,"valamennyire igen, évente többször járok templomba",10,10,10,3000 RON fölött,Alkalmazott,nem,10,9,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
1075,férfi,15-24,Nem,középiskola,3,3,6,5,5,6,3,"igen, heti rendszerességgel járok templomba",7,2,4,1000 - 1999 RON között,Tanuló / diák,igen,8,0,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,6,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
1076,nő,45-54,Nem,felsőfokú,2,5,9,5,2,10,2,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",8,8,9,1000 - 1999 RON között,Alkalmazott,nem,10,8,Igen,Marosszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,6,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1077,férfi,25-34,Nem,középiskola,2,5,3,8,3,5,5,"igen, heti rendszerességgel járok templomba",7,3,9,1000 - 1999 RON között,Alkalmazott,igen,5,5,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,6,Nem,Nem,Igen,Nem!,Nem!,Nem!,,
1078,nő,45-54,Nem,középiskola,4,6,6,7,5,8,6,"igen, heti rendszerességgel járok templomba",7,6,7,999 RON alatt,Alkalmazott,igen,8,5,Igen,Gyergyószék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,4,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
1079,nő,25-34,Igen,felsőfokú,2,5,4,9,8,4,5,"valamennyire igen, évente többször járok templomba",6,3,8,1000 - 1999 RON között,Alkalmazott,nem,6,7,Igen,Gyergyószék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Igen,6,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1080,nő,25-34,Nem,felsőfokú,3,10,6,10,8,7,7,"valamennyire igen, de nem járok templomba",10,8,9,999 RON alatt,Egyéb,igen,6,6,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,9,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1081,nő,35-44,Nem,felsőfokú,4,7,0,8,2,2,0,"valamennyire igen, évente többször járok templomba",10,1,8,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,igen,3,1,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,3,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
1082,nő,45-54,Igen,középiskola,4,8,6,8,8,8,2,"igen, heti rendszerességgel járok templomba",9,5,5,999 RON alatt,Háztartásbeli,nem,8,5,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
1083,nő,25-34,Igen,felsőfokú,2,5,7,3,5,8,4,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",6,4,7,2000 - 2999 RON között,Alkalmazott,nem,3,8,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,6,Igen,Nem,Igen,Igen!,Igen!,Igen!,,
1084,férfi,15-24,Nem,elemi,5 vagy több,6,9,8,6,7,7,"valamennyire igen, de nem járok templomba",9,6,8,1000 - 1999 RON között,Tanuló / diák,igen,5,7,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,7,Nem,Nem,Nem,Igen!,Nem!,Igen!,,
1085,férfi,45-54,Igen,középiskola,2,10,8,10,9,9,9,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",9,6,10,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,igen,8,7,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,9,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
1086,nő,15-24,Nem,középiskola,4,6,2,8,7,9,8,"igen, heti rendszerességgel járok templomba",8,0,9,999 RON alatt,Tanuló / diák,igen,9,4,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,6,Nem,Nem,Nem,Igen!,Nem!,Nem!,,
1087,nő,45-54,Igen,felsőfokú,3,10,10,10,10,10,10,"valamennyire igen, évente többször járok templomba",10,8,10,2000 - 2999 RON között,Vállalkozó / cégtulajdonos,nem,10,9,Igen,Udvarhelyszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Igen,10,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1088,nő,45-54,Igen,felsőfokú,4,8,8,8,9,9,8,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",10,7,9,1000 - 1999 RON között,Alkalmazott,igen,9,9,Igen,Sepsiszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,8,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
1089,nő,15-24,Nem,felsőfokú,4,7,5,9,8,6,6,"igen, heti rendszerességgel járok templomba",5,5,9,999 RON alatt,Alkalmazott,nem,5,8,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,7,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
1090,férfi,35-44,Igen,felsőfokú,egyedül él,6,7,7,6,8,6,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",8,5,4,2000 - 2999 RON között,Alkalmazott,igen,7,4,Igen,Sepsiszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,6,Igen,Igen,Igen,Igen!,Igen!,Igen!,,
1091,nő,25-34,Igen,doktori,3,8,6,8,5,7,6,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",10,8,9,1000 - 1999 RON között,Alkalmazott,nem,9,8,Igen,Marosszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Igen,Nem!,Nem!,Nem!,,
1092,nő,35-44,Igen,felsőfokú,2,8,10,10,8,7,5,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",8,6,10,1000 - 1999 RON között,Alkalmazott,igen,5,7,Igen,Sepsiszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1093,nő,45-54,Igen,középiskola,2,3,3,2,5,3,1,"valamennyire igen, de nem járok templomba",3,1,3,1000 - 1999 RON között,Alkalmazott,igen,2,1,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,1,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1094,nő,15-24,Nem,felsőfokú,3,7,7,4,9,5,2,"igen, heti rendszerességgel járok templomba",9,2,9,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,nem,8,5,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,7,Igen,Nem,Igen,Igen!,Igen!,Nem!,,
1095,férfi,35-44,Igen,felsőfokú,3,9,10,9,8,7,9,"valamennyire igen, de nem járok templomba",9,7,9,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,nem,6,3,Igen,Kézdiszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1096,nő,25-34,Nem,felsőfokú,4,7,0,9,2,5,0,"igen, heti rendszerességgel járok templomba",3,6,8,999 RON alatt,Háztartásbeli,igen,7,8,Igen,Sepsiszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,7,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
1097,férfi,35-44,Nem,felsőfokú,3,7,6,8,9,9,7,"valamennyire igen, évente többször járok templomba",8,7,9,2000 - 2999 RON között,Alkalmazott,nem,9,10,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
1098,férfi,15-24,Igen,középiskola,3,3,0,9,1,4,5,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",3,0,5,999 RON alatt,Munkanélküli,nem,7,5,Nem,Csíkszék,Soha. Nem hatódom meg az ilyen kérésektől.,Nem,3,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
1099,férfi,45-54,Nem,középiskola,4,6,8,8,9,8,7,"valamennyire igen, évente többször járok templomba",6,7,9,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,igen,8,5,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,6,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
1100,nő,15-24,Nem,középiskola,3,7,6,9,9,5,2,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",9,4,2,1000 - 1999 RON között,Tanuló / diák,igen,8,5,Nem,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,2,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1101,nő,15-24,Nem,felsőfokú,3,6,7,6,6,9,8,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",9,6,10,1000 - 1999 RON között,Alkalmazott,nem,9,9,Igen,Orbaiszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,7,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
1102,férfi,25-34,Igen,felsőfokú,2,5,5,4,8,3,6,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",3,6,6,1000 - 1999 RON között,Alkalmazott,igen,7,2,Igen,Udvarhelyszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,7,Igen,Nem,Igen,Igen!,Igen!,Igen!,,
1103,nő,25-34,Igen,felsőfokú,egyedül él,8,8,7,8,8,8,"valamennyire igen, de nem járok templomba",9,8,3,2000 - 2999 RON között,Alkalmazott,igen,9,3,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1104,nő,35-44,Igen,felsőfokú,3,6,6,9,6,8,7,"valamennyire igen, évente többször járok templomba",7,7,9,1000 - 1999 RON között,Alkalmazott,nem,7,9,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1105,férfi,55-64,Igen,felsőfokú,3,2,6,5,4,3,2,"valamennyire igen, évente többször járok templomba",0,1,8,1000 - 1999 RON között,Alkalmazott,igen,3,6,Igen,Gyergyószék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Igen,3,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
1106,férfi,15-24,Igen,felsőfokú,2,9,8,8,7,7,9,"valamennyire igen, évente többször járok templomba",10,8,10,3000 RON fölött,Tanuló / diák,igen,8,8,Igen,Bardóc-Miklósvárszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1107,nő,55-64,Igen,felsőfokú,4,8,9,8,7,9,8,"valamennyire igen, évente többször járok templomba",8,9,9,3000 RON fölött,Vállalkozó / cégtulajdonos,igen,9,7,Igen,Udvarhelyszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
1108,nő,35-44,Igen,doktori,2,7,5,8,6,7,8,"igen, heti rendszerességgel járok templomba",9,6,9,2000 - 2999 RON között,Alkalmazott,nem,9,7,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,6,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
1109,férfi,15-24,Igen,felsőfokú,4,7,5,7,9,7,7,"valamennyire igen, évente többször járok templomba",8,2,9,1000 - 1999 RON között,Tanuló / diák,igen,8,5,Igen,Udvarhelyszék,Soha. Nem hatódom meg az ilyen kérésektől.,Nem,6,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1110,férfi,35-44,Igen,középiskola,4,7,7,9,9,7,8,"valamennyire igen, évente többször járok templomba",8,7,9,1000 - 1999 RON között,Alkalmazott,igen,6,8,Igen,Udvarhelyszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1111,férfi,45-54,Nem,felsőfokú,5 vagy több,8,8,8,9,8,9,"valamennyire igen, évente többször járok templomba",7,8,9,1000 - 1999 RON között,Alkalmazott,igen,7,7,Igen,Csíkszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Nem,7,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
1112,férfi,15-24,Igen,középiskola,4,6,3,8,4,8,5,nem hiszek semmilyen vallásban vagy teremtőben,7,7,8,1000 - 1999 RON között,Alkalmazott,nem,6,0,Igen,Udvarhelyszék,Soha. Nem hatódom meg az ilyen kérésektől.,Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1113,nő,25-34,Igen,felsőfokú,3,6,8,10,7,6,7,"valamennyire igen, de nem járok templomba",9,8,7,1000 - 1999 RON között,Alkalmazott,igen,6,6,Igen,Gyergyószék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1114,nő,15-24,Nem,középiskola,4,3,2,4,6,5,7,"valamennyire igen, évente többször járok templomba",9,1,2,1000 - 1999 RON között,Alkalmazott,igen,10,9,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,5,Nem,Igen,Igen,Igen!,Nem!,Igen!,,
1115,férfi,45-54,Igen,középiskola,4,7,5,9,3,5,2,"valamennyire igen, évente többször járok templomba",7,5,8,1000 - 1999 RON között,Alkalmazott,nem,7,3,Igen,Udvarhelyszék,Soha. Ők a felelősek azért amiért bajba jutottak,Nem,8,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
1116,férfi,15-24,Nem,középiskola,egyedül él,4,7,8,10,5,1,"valamennyire igen, évente többször járok templomba",7,8,10,3000 RON fölött,Alkalmazott,nem,5,9,Igen,Csíkszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Nem,4,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
1117,nő,15-24,Nem,felsőfokú,3,9,6,10,9,9,8,"igen, heti rendszerességgel járok templomba",10,7,10,999 RON alatt,Tanuló / diák,igen,7,10,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Igen,9,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
1118,férfi,55-64,Igen,középiskola,2,6,9,7,8,7,3,"igen, heti rendszerességgel járok templomba",9,6,10,1000 - 1999 RON között,Alkalmazott,nem,5,8,Nem,Gyergyószék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
1119,férfi,35-44,Igen,felsőfokú,4,3,6,8,3,4,4,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",6,2,2,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,igen,6,4,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,7,Nem,Nem,Nem,Igen!,Igen!,Nem!,,
1120,férfi,15-24,Nem,középiskola,4,10,8,10,10,9,9,"igen, heti rendszerességgel járok templomba",10,8,10,2000 - 2999 RON között,Tanuló / diák,igen,8,8,Igen,Csíkszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Igen,10,Nem,Nem,Igen,Nem!,Nem!,Nem!,,
