
Sexe, Grupe de varsta , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Feminin, 70-74 ani, Regiunea CENTRU, Anul 2003, Numar persoane, 1875
Feminin, 70-74 ani, Regiunea CENTRU, Anul 2004, Numar persoane, 1859
Feminin, 70-74 ani, Regiunea CENTRU, Anul 2005, Numar persoane, 1784
Feminin, 70-74 ani, Regiunea CENTRU, Anul 2006, Numar persoane, 1788
Feminin, 70-74 ani, Regiunea CENTRU, Anul 2007, Numar persoane, 1598
Feminin, 70-74 ani, Regiunea CENTRU, Anul 2008, Numar persoane, 1591
Feminin, 70-74 ani, Regiunea CENTRU, Anul 2009, Numar persoane, 1552
Feminin, 70-74 ani, Regiunea CENTRU, Anul 2010, Numar persoane, 1527
Feminin, 70-74 ani, Regiunea CENTRU, Anul 2011, Numar persoane, 1441
Feminin, 70-74 ani, Regiunea CENTRU, Anul 2012, Numar persoane, 1395
Feminin, 70-74 ani, Regiunea CENTRU, Anul 2013, Numar persoane, 1329
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 1990, Numar persoane, 1424
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 1991, Numar persoane, 1602
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 1992, Numar persoane, 1802
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 1993, Numar persoane, 2233
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 1994, Numar persoane, 2447
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 1995, Numar persoane, 2516
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 1996, Numar persoane, 2790
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 1997, Numar persoane, 2702
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 1998, Numar persoane, 2626
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 1999, Numar persoane, 2761
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2000, Numar persoane, 2590
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2001, Numar persoane, 2555
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2002, Numar persoane, 2685
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2003, Numar persoane, 2762
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2004, Numar persoane, 2553
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2005, Numar persoane, 2592
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2006, Numar persoane, 2432
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2007, Numar persoane, 2542
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2008, Numar persoane, 2430
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2009, Numar persoane, 2518
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2010, Numar persoane, 2496
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2011, Numar persoane, 2206
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2012, Numar persoane, 2304
Feminin, 70-74 ani, Regiunea NORD-EST, Anul 2013, Numar persoane, 2002
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 1990, Numar persoane, 1106
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 1991, Numar persoane, 1244
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 1992, Numar persoane, 1356
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 1993, Numar persoane, 1607
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 1994, Numar persoane, 1961
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 1995, Numar persoane, 2035
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 1996, Numar persoane, 2138
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 1997, Numar persoane, 2106
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 1998, Numar persoane, 2044
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 1999, Numar persoane, 2120
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2000, Numar persoane, 2076
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2001, Numar persoane, 2094
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2002, Numar persoane, 2122
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2003, Numar persoane, 2142
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2004, Numar persoane, 2114
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2005, Numar persoane, 2103
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2006, Numar persoane, 2004
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2007, Numar persoane, 2036
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2008, Numar persoane, 1929
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2009, Numar persoane, 1887
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2010, Numar persoane, 1915
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2011, Numar persoane, 1880
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2012, Numar persoane, 1709
Feminin, 70-74 ani, Regiunea SUD-EST, Anul 2013, Numar persoane, 1584
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 1990, Numar persoane, 1972
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 1991, Numar persoane, 1930
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 2212
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 2565
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 2725
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 2960
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 3219
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 3175
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 3180
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 3097
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 3085
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 2931
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 3164
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 3002
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 2886
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 2965
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 2943
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 2764
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 2649
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 2725
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 2645
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 2430
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 2291
Feminin, 70-74 ani, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 1992
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar persoane, 1226
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 1284
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 1418
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 1667
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 1795
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 1849
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 1950
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 1893
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 1820
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 1789
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 1760
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 1689
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 1692
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 1617
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 1534
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 1610
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 1535
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 1402
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 1427
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 1310
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 1322
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 1242
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 1191
Feminin, 70-74 ani, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 1073
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 1990, Numar persoane, 1485
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 1991, Numar persoane, 1531
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 1601
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 1955
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 2165
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 2213
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 2450
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 2464
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 2404
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 2375
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 2161
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 2180
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 2264
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 2230
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 2119
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 2132
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 2118
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 2050
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 1971
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 2015
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 1986
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 1710
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 1610
Feminin, 70-74 ani, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 1382
Feminin, 70-74 ani, Regiunea VEST, Anul 1990, Numar persoane, 1114
Feminin, 70-74 ani, Regiunea VEST, Anul 1991, Numar persoane, 1396
Feminin, 70-74 ani, Regiunea VEST, Anul 1992, Numar persoane, 1656
Feminin, 70-74 ani, Regiunea VEST, Anul 1993, Numar persoane, 1825
Feminin, 70-74 ani, Regiunea VEST, Anul 1994, Numar persoane, 2065
Feminin, 70-74 ani, Regiunea VEST, Anul 1995, Numar persoane, 2113
Feminin, 70-74 ani, Regiunea VEST, Anul 1996, Numar persoane, 2092
Feminin, 70-74 ani, Regiunea VEST, Anul 1997, Numar persoane, 2019
Feminin, 70-74 ani, Regiunea VEST, Anul 1998, Numar persoane, 1931
Feminin, 70-74 ani, Regiunea VEST, Anul 1999, Numar persoane, 1897
Feminin, 70-74 ani, Regiunea VEST, Anul 2000, Numar persoane, 1918
Feminin, 70-74 ani, Regiunea VEST, Anul 2001, Numar persoane, 1853
Feminin, 70-74 ani, Regiunea VEST, Anul 2002, Numar persoane, 1842
Feminin, 70-74 ani, Regiunea VEST, Anul 2003, Numar persoane, 1890
Feminin, 70-74 ani, Regiunea VEST, Anul 2004, Numar persoane, 1759
Feminin, 70-74 ani, Regiunea VEST, Anul 2005, Numar persoane, 1775
Feminin, 70-74 ani, Regiunea VEST, Anul 2006, Numar persoane, 1718
Feminin, 70-74 ani, Regiunea VEST, Anul 2007, Numar persoane, 1512
Feminin, 70-74 ani, Regiunea VEST, Anul 2008, Numar persoane, 1515
Feminin, 70-74 ani, Regiunea VEST, Anul 2009, Numar persoane, 1533
Feminin, 70-74 ani, Regiunea VEST, Anul 2010, Numar persoane, 1511
Feminin, 70-74 ani, Regiunea VEST, Anul 2011, Numar persoane, 1394
Feminin, 70-74 ani, Regiunea VEST, Anul 2012, Numar persoane, 1299
Feminin, 70-74 ani, Regiunea VEST, Anul 2013, Numar persoane, 1286
Feminin, 75-79 ani, TOTAL, Anul 1990, Numar persoane, 21667
Feminin, 75-79 ani, TOTAL, Anul 1991, Numar persoane, 20937
Feminin, 75-79 ani, TOTAL, Anul 1992, Numar persoane, 20268
Feminin, 75-79 ani, TOTAL, Anul 1993, Numar persoane, 16562
Feminin, 75-79 ani, TOTAL, Anul 1994, Numar persoane, 14997
Feminin, 75-79 ani, TOTAL, Anul 1995, Numar persoane, 14825
Feminin, 75-79 ani, TOTAL, Anul 1996, Numar persoane, 16991
Feminin, 75-79 ani, TOTAL, Anul 1997, Numar persoane, 18047
Feminin, 75-79 ani, TOTAL, Anul 1998, Numar persoane, 21136
Feminin, 75-79 ani, TOTAL, Anul 1999, Numar persoane, 23413
Feminin, 75-79 ani, TOTAL, Anul 2000, Numar persoane, 22869
Feminin, 75-79 ani, TOTAL, Anul 2001, Numar persoane, 23298
Feminin, 75-79 ani, TOTAL, Anul 2002, Numar persoane, 24397
Feminin, 75-79 ani, TOTAL, Anul 2003, Numar persoane, 24054
Feminin, 75-79 ani, TOTAL, Anul 2004, Numar persoane, 23161
Feminin, 75-79 ani, TOTAL, Anul 2005, Numar persoane, 23538
Feminin, 75-79 ani, TOTAL, Anul 2006, Numar persoane, 23112
Feminin, 75-79 ani, TOTAL, Anul 2007, Numar persoane, 22454
Feminin, 75-79 ani, TOTAL, Anul 2008, Numar persoane, 21858
Feminin, 75-79 ani, TOTAL, Anul 2009, Numar persoane, 21628
Feminin, 75-79 ani, TOTAL, Anul 2010, Numar persoane, 21851
Feminin, 75-79 ani, TOTAL, Anul 2011, Numar persoane, 20990
Feminin, 75-79 ani, TOTAL, Anul 2012, Numar persoane, 21550
Feminin, 75-79 ani, TOTAL, Anul 2013, Numar persoane, 20509
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 1990, Numar persoane, 3014
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 1991, Numar persoane, 2690
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 1992, Numar persoane, 2550
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 1993, Numar persoane, 2040
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 1994, Numar persoane, 1838
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 1995, Numar persoane, 1895
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 1996, Numar persoane, 2288
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 1997, Numar persoane, 2709
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 1998, Numar persoane, 3073
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 1999, Numar persoane, 3390
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2000, Numar persoane, 3263
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2001, Numar persoane, 3193
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2002, Numar persoane, 3119
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2003, Numar persoane, 3034
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2004, Numar persoane, 3065
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2005, Numar persoane, 3058
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2006, Numar persoane, 2937
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2007, Numar persoane, 2878
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2008, Numar persoane, 2836
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2009, Numar persoane, 2752
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2010, Numar persoane, 2714
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2011, Numar persoane, 2591
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2012, Numar persoane, 2618
Feminin, 75-79 ani, Regiunea NORD-VEST, Anul 2013, Numar persoane, 2490
Feminin, 75-79 ani, Regiunea CENTRU, Anul 1990, Numar persoane, 2347
Feminin, 75-79 ani, Regiunea CENTRU, Anul 1991, Numar persoane, 2065
Feminin, 75-79 ani, Regiunea CENTRU, Anul 1992, Numar persoane, 2020
Feminin, 75-79 ani, Regiunea CENTRU, Anul 1993, Numar persoane, 1642
Feminin, 75-79 ani, Regiunea CENTRU, Anul 1994, Numar persoane, 1423
Feminin, 75-79 ani, Regiunea CENTRU, Anul 1995, Numar persoane, 1455
Feminin, 75-79 ani, Regiunea CENTRU, Anul 1996, Numar persoane, 1675
Feminin, 75-79 ani, Regiunea CENTRU, Anul 1997, Numar persoane, 2049
Feminin, 75-79 ani, Regiunea CENTRU, Anul 1998, Numar persoane, 2306
Feminin, 75-79 ani, Regiunea CENTRU, Anul 1999, Numar persoane, 2597
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2000, Numar persoane, 2486
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2001, Numar persoane, 2511
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2002, Numar persoane, 2610
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2003, Numar persoane, 2559
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2004, Numar persoane, 2474
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2005, Numar persoane, 2434
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2006, Numar persoane, 2462
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2007, Numar persoane, 2381
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2008, Numar persoane, 2319
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2009, Numar persoane, 2211
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2010, Numar persoane, 2271
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2011, Numar persoane, 2111
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2012, Numar persoane, 2134
Feminin, 75-79 ani, Regiunea CENTRU, Anul 2013, Numar persoane, 2058
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 1990, Numar persoane, 2831
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 1991, Numar persoane, 2817
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 1992, Numar persoane, 2680
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 1993, Numar persoane, 2362
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 1994, Numar persoane, 2153
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 1995, Numar persoane, 2090
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 1996, Numar persoane, 2538
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 1997, Numar persoane, 2481
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 1998, Numar persoane, 2997
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 1999, Numar persoane, 3247
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2000, Numar persoane, 3228
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2001, Numar persoane, 3286
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2002, Numar persoane, 3522
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2003, Numar persoane, 3616
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2004, Numar persoane, 3425
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2005, Numar persoane, 3425
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2006, Numar persoane, 3407
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2007, Numar persoane, 3397
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2008, Numar persoane, 3300
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2009, Numar persoane, 3286
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2010, Numar persoane, 3410
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2011, Numar persoane, 3273
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2012, Numar persoane, 3323
Feminin, 75-79 ani, Regiunea NORD-EST, Anul 2013, Numar persoane, 3439
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 1990, Numar persoane, 2246
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 1991, Numar persoane, 2325
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 1992, Numar persoane, 2200
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 1993, Numar persoane, 1711
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 1994, Numar persoane, 1701
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 1995, Numar persoane, 1586
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 1996, Numar persoane, 1808
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 1997, Numar persoane, 1834
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 1998, Numar persoane, 2232
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 1999, Numar persoane, 2564
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2000, Numar persoane, 2635
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2001, Numar persoane, 2613
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2002, Numar persoane, 2763
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2003, Numar persoane, 2834
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2004, Numar persoane, 2661
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2005, Numar persoane, 2758
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2006, Numar persoane, 2749
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2007, Numar persoane, 2747
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2008, Numar persoane, 2763
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2009, Numar persoane, 2737
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2010, Numar persoane, 2733
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2011, Numar persoane, 2731
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2012, Numar persoane, 2732
Feminin, 75-79 ani, Regiunea SUD-EST, Anul 2013, Numar persoane, 2657
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 1990, Numar persoane, 3848
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 1991, Numar persoane, 3918
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 3843
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 3122
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 2776
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 2710
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 2869
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 2902
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 3488
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 3807
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 3803
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 3932
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 4341
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 4260
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 3979
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 4110
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 4044
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 3945
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 3813
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 3801
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 3891
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 3740
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 3954
Feminin, 75-79 ani, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 3620
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar persoane, 2181
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 2139
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 2170
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 1769
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 1587
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 1518
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 1779
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 1814
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 2086
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 2248
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 2285
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 2344
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 2407
Feminin, 75-79 ani, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 2256
