
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Regiunea SUD-VEST OLTENIA, Anul 2012, Mii persoane, 2.6
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Regiunea SUD-VEST OLTENIA, Anul 2013, Mii persoane, 3.3
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Dolj, Anul 2008, Mii persoane, .4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Dolj, Anul 2009, Mii persoane, .8
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Dolj, Anul 2010, Mii persoane, .7
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Dolj, Anul 2011, Mii persoane, .8
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Dolj, Anul 2012, Mii persoane, .8
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Dolj, Anul 2013, Mii persoane, 1
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Gorj, Anul 2008, Mii persoane, .2
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Gorj, Anul 2009, Mii persoane, .4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Gorj, Anul 2010, Mii persoane, .4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Gorj, Anul 2011, Mii persoane, .4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Gorj, Anul 2012, Mii persoane, .5
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Gorj, Anul 2013, Mii persoane, .7
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Mehedinti, Anul 2008, Mii persoane, .2
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Mehedinti, Anul 2009, Mii persoane, .4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Mehedinti, Anul 2010, Mii persoane, .3
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Mehedinti, Anul 2011, Mii persoane, .4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Mehedinti, Anul 2012, Mii persoane, .3
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Mehedinti, Anul 2013, Mii persoane, .4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Olt, Anul 2008, Mii persoane, .3
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Olt, Anul 2009, Mii persoane, .5
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Olt, Anul 2010, Mii persoane, .4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Olt, Anul 2011, Mii persoane, .4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Olt, Anul 2012, Mii persoane, .4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Olt, Anul 2013, Mii persoane, .5
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Valcea, Anul 2008, Mii persoane, .3
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Valcea, Anul 2009, Mii persoane, .6
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Valcea, Anul 2010, Mii persoane, .5
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Valcea, Anul 2011, Mii persoane, .5
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Valcea, Anul 2012, Mii persoane, .6
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Valcea, Anul 2013, Mii persoane, .7
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Regiunea VEST, Anul 2008, Mii persoane, 2
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Regiunea VEST, Anul 2009, Mii persoane, 2.7
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Regiunea VEST, Anul 2010, Mii persoane, 2.2
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Regiunea VEST, Anul 2011, Mii persoane, 2.8
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Regiunea VEST, Anul 2012, Mii persoane, 2.7
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Regiunea VEST, Anul 2013, Mii persoane, 3.3
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Arad, Anul 2008, Mii persoane, .3
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Arad, Anul 2009, Mii persoane, .6
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Arad, Anul 2010, Mii persoane, .5
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Arad, Anul 2011, Mii persoane, .6
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Arad, Anul 2012, Mii persoane, .5
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Arad, Anul 2013, Mii persoane, .7
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Caras-Severin, Anul 2008, Mii persoane, .2
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Caras-Severin, Anul 2009, Mii persoane, .2
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Caras-Severin, Anul 2010, Mii persoane, .2
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Caras-Severin, Anul 2011, Mii persoane, .3
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Caras-Severin, Anul 2012, Mii persoane, .2
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Caras-Severin, Anul 2013, Mii persoane, .4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Hunedoara, Anul 2008, Mii persoane, .3
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Hunedoara, Anul 2009, Mii persoane, .4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Hunedoara, Anul 2010, Mii persoane, .4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Hunedoara, Anul 2011, Mii persoane, .5
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Hunedoara, Anul 2012, Mii persoane, .5
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Hunedoara, Anul 2013, Mii persoane, .6
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Timis, Anul 2008, Mii persoane, 1.2
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Timis, Anul 2009, Mii persoane, 1.5
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Timis, Anul 2010, Mii persoane, 1.1
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Timis, Anul 2011, Mii persoane, 1.4
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Timis, Anul 2012, Mii persoane, 1.5
R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Feminin, Timis, Anul 2013, Mii persoane, 1.6
S  ALTE ACTIVITATI DE SERVICII, Total, TOTAL, Anul 2008, Mii persoane, 120.4
S  ALTE ACTIVITATI DE SERVICII, Total, TOTAL, Anul 2009, Mii persoane, 141.2
S  ALTE ACTIVITATI DE SERVICII, Total, TOTAL, Anul 2010, Mii persoane, 150.4
S  ALTE ACTIVITATI DE SERVICII, Total, TOTAL, Anul 2011, Mii persoane, 129.8
S  ALTE ACTIVITATI DE SERVICII, Total, TOTAL, Anul 2012, Mii persoane, 167.4
S  ALTE ACTIVITATI DE SERVICII, Total, TOTAL, Anul 2013, Mii persoane, 162
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA UNU, Anul 2008, Mii persoane, 27.6
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA UNU, Anul 2009, Mii persoane, 35.5
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA UNU, Anul 2010, Mii persoane, 38.3
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA UNU, Anul 2011, Mii persoane, 32.4
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA UNU, Anul 2012, Mii persoane, 41.6
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA UNU, Anul 2013, Mii persoane, 39.9
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea NORD-VEST, Anul 2008, Mii persoane, 14.2
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea NORD-VEST, Anul 2009, Mii persoane, 19
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea NORD-VEST, Anul 2010, Mii persoane, 20.2
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea NORD-VEST, Anul 2011, Mii persoane, 17.1
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea NORD-VEST, Anul 2012, Mii persoane, 21.7
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea NORD-VEST, Anul 2013, Mii persoane, 20.9
S  ALTE ACTIVITATI DE SERVICII, Total, Bihor, Anul 2008, Mii persoane, 1.8
S  ALTE ACTIVITATI DE SERVICII, Total, Bihor, Anul 2009, Mii persoane, 3.4
S  ALTE ACTIVITATI DE SERVICII, Total, Bihor, Anul 2010, Mii persoane, 3
S  ALTE ACTIVITATI DE SERVICII, Total, Bihor, Anul 2011, Mii persoane, 2.8
S  ALTE ACTIVITATI DE SERVICII, Total, Bihor, Anul 2012, Mii persoane, 3.1
S  ALTE ACTIVITATI DE SERVICII, Total, Bihor, Anul 2013, Mii persoane, 3.4
S  ALTE ACTIVITATI DE SERVICII, Total, Bistrita-Nasaud, Anul 2008, Mii persoane, 1.5
S  ALTE ACTIVITATI DE SERVICII, Total, Bistrita-Nasaud, Anul 2009, Mii persoane, 2.4
S  ALTE ACTIVITATI DE SERVICII, Total, Bistrita-Nasaud, Anul 2010, Mii persoane, 2.8
S  ALTE ACTIVITATI DE SERVICII, Total, Bistrita-Nasaud, Anul 2011, Mii persoane, 2.1
S  ALTE ACTIVITATI DE SERVICII, Total, Bistrita-Nasaud, Anul 2012, Mii persoane, 2.9
S  ALTE ACTIVITATI DE SERVICII, Total, Bistrita-Nasaud, Anul 2013, Mii persoane, 2.7
S  ALTE ACTIVITATI DE SERVICII, Total, Cluj, Anul 2008, Mii persoane, 5.4
S  ALTE ACTIVITATI DE SERVICII, Total, Cluj, Anul 2009, Mii persoane, 7.3
S  ALTE ACTIVITATI DE SERVICII, Total, Cluj, Anul 2010, Mii persoane, 8.4
S  ALTE ACTIVITATI DE SERVICII, Total, Cluj, Anul 2011, Mii persoane, 6.7
S  ALTE ACTIVITATI DE SERVICII, Total, Cluj, Anul 2012, Mii persoane, 8.8
S  ALTE ACTIVITATI DE SERVICII, Total, Cluj, Anul 2013, Mii persoane, 8.1
S  ALTE ACTIVITATI DE SERVICII, Total, Maramures, Anul 2008, Mii persoane, 3
S  ALTE ACTIVITATI DE SERVICII, Total, Maramures, Anul 2009, Mii persoane, 2.8
S  ALTE ACTIVITATI DE SERVICII, Total, Maramures, Anul 2010, Mii persoane, 2.7
S  ALTE ACTIVITATI DE SERVICII, Total, Maramures, Anul 2011, Mii persoane, 2.6
S  ALTE ACTIVITATI DE SERVICII, Total, Maramures, Anul 2012, Mii persoane, 3.2
S  ALTE ACTIVITATI DE SERVICII, Total, Maramures, Anul 2013, Mii persoane, 3.2
S  ALTE ACTIVITATI DE SERVICII, Total, Satu Mare, Anul 2008, Mii persoane, 1.9
S  ALTE ACTIVITATI DE SERVICII, Total, Satu Mare, Anul 2009, Mii persoane, 1.8
S  ALTE ACTIVITATI DE SERVICII, Total, Satu Mare, Anul 2010, Mii persoane, 1.7
S  ALTE ACTIVITATI DE SERVICII, Total, Satu Mare, Anul 2011, Mii persoane, 1.7
S  ALTE ACTIVITATI DE SERVICII, Total, Satu Mare, Anul 2012, Mii persoane, 2
S  ALTE ACTIVITATI DE SERVICII, Total, Satu Mare, Anul 2013, Mii persoane, 2
S  ALTE ACTIVITATI DE SERVICII, Total, Salaj, Anul 2008, Mii persoane, .6
S  ALTE ACTIVITATI DE SERVICII, Total, Salaj, Anul 2009, Mii persoane, 1.3
S  ALTE ACTIVITATI DE SERVICII, Total, Salaj, Anul 2010, Mii persoane, 1.6
S  ALTE ACTIVITATI DE SERVICII, Total, Salaj, Anul 2011, Mii persoane, 1.2
S  ALTE ACTIVITATI DE SERVICII, Total, Salaj, Anul 2012, Mii persoane, 1.7
S  ALTE ACTIVITATI DE SERVICII, Total, Salaj, Anul 2013, Mii persoane, 1.5
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea CENTRU, Anul 2008, Mii persoane, 13.4
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea CENTRU, Anul 2009, Mii persoane, 16.5
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea CENTRU, Anul 2010, Mii persoane, 18.1
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea CENTRU, Anul 2011, Mii persoane, 15.3
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea CENTRU, Anul 2012, Mii persoane, 19.9
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea CENTRU, Anul 2013, Mii persoane, 19
S  ALTE ACTIVITATI DE SERVICII, Total, Alba, Anul 2008, Mii persoane, 2.1
S  ALTE ACTIVITATI DE SERVICII, Total, Alba, Anul 2009, Mii persoane, 2.5
S  ALTE ACTIVITATI DE SERVICII, Total, Alba, Anul 2010, Mii persoane, 2.8
S  ALTE ACTIVITATI DE SERVICII, Total, Alba, Anul 2011, Mii persoane, 2.3
S  ALTE ACTIVITATI DE SERVICII, Total, Alba, Anul 2012, Mii persoane, 3
S  ALTE ACTIVITATI DE SERVICII, Total, Alba, Anul 2013, Mii persoane, 2.9
S  ALTE ACTIVITATI DE SERVICII, Total, Brasov, Anul 2008, Mii persoane, 3.1
S  ALTE ACTIVITATI DE SERVICII, Total, Brasov, Anul 2009, Mii persoane, 4.7
S  ALTE ACTIVITATI DE SERVICII, Total, Brasov, Anul 2010, Mii persoane, 5.2
S  ALTE ACTIVITATI DE SERVICII, Total, Brasov, Anul 2011, Mii persoane, 4.1
S  ALTE ACTIVITATI DE SERVICII, Total, Brasov, Anul 2012, Mii persoane, 5.3
S  ALTE ACTIVITATI DE SERVICII, Total, Brasov, Anul 2013, Mii persoane, 4.9
S  ALTE ACTIVITATI DE SERVICII, Total, Covasna, Anul 2008, Mii persoane, .7
S  ALTE ACTIVITATI DE SERVICII, Total, Covasna, Anul 2009, Mii persoane, .6
S  ALTE ACTIVITATI DE SERVICII, Total, Covasna, Anul 2010, Mii persoane, .6
S  ALTE ACTIVITATI DE SERVICII, Total, Covasna, Anul 2011, Mii persoane, .7
S  ALTE ACTIVITATI DE SERVICII, Total, Covasna, Anul 2012, Mii persoane, .9
S  ALTE ACTIVITATI DE SERVICII, Total, Covasna, Anul 2013, Mii persoane, .8
S  ALTE ACTIVITATI DE SERVICII, Total, Harghita, Anul 2008, Mii persoane, .9
S  ALTE ACTIVITATI DE SERVICII, Total, Harghita, Anul 2009, Mii persoane, 1.2
S  ALTE ACTIVITATI DE SERVICII, Total, Harghita, Anul 2010, Mii persoane, 1.4
S  ALTE ACTIVITATI DE SERVICII, Total, Harghita, Anul 2011, Mii persoane, 1.3
S  ALTE ACTIVITATI DE SERVICII, Total, Harghita, Anul 2012, Mii persoane, 1.5
S  ALTE ACTIVITATI DE SERVICII, Total, Harghita, Anul 2013, Mii persoane, 1.4
S  ALTE ACTIVITATI DE SERVICII, Total, Mures, Anul 2008, Mii persoane, 3.5
S  ALTE ACTIVITATI DE SERVICII, Total, Mures, Anul 2009, Mii persoane, 3.9
S  ALTE ACTIVITATI DE SERVICII, Total, Mures, Anul 2010, Mii persoane, 4.1
S  ALTE ACTIVITATI DE SERVICII, Total, Mures, Anul 2011, Mii persoane, 3.5
S  ALTE ACTIVITATI DE SERVICII, Total, Mures, Anul 2012, Mii persoane, 4.7
S  ALTE ACTIVITATI DE SERVICII, Total, Mures, Anul 2013, Mii persoane, 4.5
S  ALTE ACTIVITATI DE SERVICII, Total, Sibiu, Anul 2008, Mii persoane, 3.1
S  ALTE ACTIVITATI DE SERVICII, Total, Sibiu, Anul 2009, Mii persoane, 3.6
S  ALTE ACTIVITATI DE SERVICII, Total, Sibiu, Anul 2010, Mii persoane, 4
S  ALTE ACTIVITATI DE SERVICII, Total, Sibiu, Anul 2011, Mii persoane, 3.4
S  ALTE ACTIVITATI DE SERVICII, Total, Sibiu, Anul 2012, Mii persoane, 4.5
S  ALTE ACTIVITATI DE SERVICII, Total, Sibiu, Anul 2013, Mii persoane, 4.5
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA DOI, Anul 2008, Mii persoane, 32.3
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA DOI, Anul 2009, Mii persoane, 36.7
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA DOI, Anul 2010, Mii persoane, 38.7
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA DOI, Anul 2011, Mii persoane, 33.4
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA DOI, Anul 2012, Mii persoane, 43.3
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA DOI, Anul 2013, Mii persoane, 41.5
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea NORD-EST, Anul 2008, Mii persoane, 15.5
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea NORD-EST, Anul 2009, Mii persoane, 17.3
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea NORD-EST, Anul 2010, Mii persoane, 18
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea NORD-EST, Anul 2011, Mii persoane, 15.9
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea NORD-EST, Anul 2012, Mii persoane, 19.7
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea NORD-EST, Anul 2013, Mii persoane, 19
S  ALTE ACTIVITATI DE SERVICII, Total, Bacau, Anul 2008, Mii persoane, 3.2
S  ALTE ACTIVITATI DE SERVICII, Total, Bacau, Anul 2009, Mii persoane, 3.6
S  ALTE ACTIVITATI DE SERVICII, Total, Bacau, Anul 2010, Mii persoane, 3.9
S  ALTE ACTIVITATI DE SERVICII, Total, Bacau, Anul 2011, Mii persoane, 3.4
S  ALTE ACTIVITATI DE SERVICII, Total, Bacau, Anul 2012, Mii persoane, 4.4
S  ALTE ACTIVITATI DE SERVICII, Total, Bacau, Anul 2013, Mii persoane, 4.3
S  ALTE ACTIVITATI DE SERVICII, Total, Botosani, Anul 2008, Mii persoane, 1.8
S  ALTE ACTIVITATI DE SERVICII, Total, Botosani, Anul 2009, Mii persoane, 1.7
S  ALTE ACTIVITATI DE SERVICII, Total, Botosani, Anul 2010, Mii persoane, 1.6
S  ALTE ACTIVITATI DE SERVICII, Total, Botosani, Anul 2011, Mii persoane, 1.5
S  ALTE ACTIVITATI DE SERVICII, Total, Botosani, Anul 2012, Mii persoane, 2.1
S  ALTE ACTIVITATI DE SERVICII, Total, Botosani, Anul 2013, Mii persoane, 2.2
S  ALTE ACTIVITATI DE SERVICII, Total, Iasi, Anul 2008, Mii persoane, 4
S  ALTE ACTIVITATI DE SERVICII, Total, Iasi, Anul 2009, Mii persoane, 4.5
S  ALTE ACTIVITATI DE SERVICII, Total, Iasi, Anul 2010, Mii persoane, 4.7
S  ALTE ACTIVITATI DE SERVICII, Total, Iasi, Anul 2011, Mii persoane, 4.3
S  ALTE ACTIVITATI DE SERVICII, Total, Iasi, Anul 2012, Mii persoane, 5.2
S  ALTE ACTIVITATI DE SERVICII, Total, Iasi, Anul 2013, Mii persoane, 5.1
S  ALTE ACTIVITATI DE SERVICII, Total, Neamt, Anul 2008, Mii persoane, 1.1
S  ALTE ACTIVITATI DE SERVICII, Total, Neamt, Anul 2009, Mii persoane, 1.7
S  ALTE ACTIVITATI DE SERVICII, Total, Neamt, Anul 2010, Mii persoane, 1.9
S  ALTE ACTIVITATI DE SERVICII, Total, Neamt, Anul 2011, Mii persoane, 1.4
S  ALTE ACTIVITATI DE SERVICII, Total, Neamt, Anul 2012, Mii persoane, 1.7
S  ALTE ACTIVITATI DE SERVICII, Total, Neamt, Anul 2013, Mii persoane, 1.6
S  ALTE ACTIVITATI DE SERVICII, Total, Suceava, Anul 2008, Mii persoane, 4.3
S  ALTE ACTIVITATI DE SERVICII, Total, Suceava, Anul 2009, Mii persoane, 4.8
S  ALTE ACTIVITATI DE SERVICII, Total, Suceava, Anul 2010, Mii persoane, 4.9
S  ALTE ACTIVITATI DE SERVICII, Total, Suceava, Anul 2011, Mii persoane, 4.3
S  ALTE ACTIVITATI DE SERVICII, Total, Suceava, Anul 2012, Mii persoane, 4.9
S  ALTE ACTIVITATI DE SERVICII, Total, Suceava, Anul 2013, Mii persoane, 4.6
S  ALTE ACTIVITATI DE SERVICII, Total, Vaslui, Anul 2008, Mii persoane, 1.1
S  ALTE ACTIVITATI DE SERVICII, Total, Vaslui, Anul 2009, Mii persoane, 1
S  ALTE ACTIVITATI DE SERVICII, Total, Vaslui, Anul 2010, Mii persoane, 1
S  ALTE ACTIVITATI DE SERVICII, Total, Vaslui, Anul 2011, Mii persoane, 1
S  ALTE ACTIVITATI DE SERVICII, Total, Vaslui, Anul 2012, Mii persoane, 1.4
S  ALTE ACTIVITATI DE SERVICII, Total, Vaslui, Anul 2013, Mii persoane, 1.2
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea SUD-EST, Anul 2008, Mii persoane, 16.8
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea SUD-EST, Anul 2009, Mii persoane, 19.4
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea SUD-EST, Anul 2010, Mii persoane, 20.7
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea SUD-EST, Anul 2011, Mii persoane, 17.5
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea SUD-EST, Anul 2012, Mii persoane, 23.6
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea SUD-EST, Anul 2013, Mii persoane, 22.5
S  ALTE ACTIVITATI DE SERVICII, Total, Braila, Anul 2008, Mii persoane, 1.4
S  ALTE ACTIVITATI DE SERVICII, Total, Braila, Anul 2009, Mii persoane, 2
S  ALTE ACTIVITATI DE SERVICII, Total, Braila, Anul 2010, Mii persoane, 2.1
S  ALTE ACTIVITATI DE SERVICII, Total, Braila, Anul 2011, Mii persoane, 1.7
S  ALTE ACTIVITATI DE SERVICII, Total, Braila, Anul 2012, Mii persoane, 2.2
S  ALTE ACTIVITATI DE SERVICII, Total, Braila, Anul 2013, Mii persoane, 2.1
S  ALTE ACTIVITATI DE SERVICII, Total, Buzau, Anul 2008, Mii persoane, 2.1
S  ALTE ACTIVITATI DE SERVICII, Total, Buzau, Anul 2009, Mii persoane, 2.7
S  ALTE ACTIVITATI DE SERVICII, Total, Buzau, Anul 2010, Mii persoane, 2.9
S  ALTE ACTIVITATI DE SERVICII, Total, Buzau, Anul 2011, Mii persoane, 2.4
S  ALTE ACTIVITATI DE SERVICII, Total, Buzau, Anul 2012, Mii persoane, 3.3
S  ALTE ACTIVITATI DE SERVICII, Total, Buzau, Anul 2013, Mii persoane, 3
S  ALTE ACTIVITATI DE SERVICII, Total, Constanta, Anul 2008, Mii persoane, 6.1
S  ALTE ACTIVITATI DE SERVICII, Total, Constanta, Anul 2009, Mii persoane, 7.9
S  ALTE ACTIVITATI DE SERVICII, Total, Constanta, Anul 2010, Mii persoane, 8.8
S  ALTE ACTIVITATI DE SERVICII, Total, Constanta, Anul 2011, Mii persoane, 7.1
S  ALTE ACTIVITATI DE SERVICII, Total, Constanta, Anul 2012, Mii persoane, 9.4
S  ALTE ACTIVITATI DE SERVICII, Total, Constanta, Anul 2013, Mii persoane, 8.8
S  ALTE ACTIVITATI DE SERVICII, Total, Galati, Anul 2008, Mii persoane, 3
S  ALTE ACTIVITATI DE SERVICII, Total, Galati, Anul 2009, Mii persoane, 2.7
S  ALTE ACTIVITATI DE SERVICII, Total, Galati, Anul 2010, Mii persoane, 2.6
S  ALTE ACTIVITATI DE SERVICII, Total, Galati, Anul 2011, Mii persoane, 2.5
S  ALTE ACTIVITATI DE SERVICII, Total, Galati, Anul 2012, Mii persoane, 3.4
S  ALTE ACTIVITATI DE SERVICII, Total, Galati, Anul 2013, Mii persoane, 3.4
S  ALTE ACTIVITATI DE SERVICII, Total, Tulcea, Anul 2008, Mii persoane, 2.4
S  ALTE ACTIVITATI DE SERVICII, Total, Tulcea, Anul 2009, Mii persoane, 2.2
S  ALTE ACTIVITATI DE SERVICII, Total, Tulcea, Anul 2010, Mii persoane, 2.1
S  ALTE ACTIVITATI DE SERVICII, Total, Tulcea, Anul 2011, Mii persoane, 2
S  ALTE ACTIVITATI DE SERVICII, Total, Tulcea, Anul 2012, Mii persoane, 2.9
S  ALTE ACTIVITATI DE SERVICII, Total, Tulcea, Anul 2013, Mii persoane, 2.9
S  ALTE ACTIVITATI DE SERVICII, Total, Vrancea, Anul 2008, Mii persoane, 1.8
S  ALTE ACTIVITATI DE SERVICII, Total, Vrancea, Anul 2009, Mii persoane, 1.9
S  ALTE ACTIVITATI DE SERVICII, Total, Vrancea, Anul 2010, Mii persoane, 2.2
S  ALTE ACTIVITATI DE SERVICII, Total, Vrancea, Anul 2011, Mii persoane, 1.8
S  ALTE ACTIVITATI DE SERVICII, Total, Vrancea, Anul 2012, Mii persoane, 2.4
S  ALTE ACTIVITATI DE SERVICII, Total, Vrancea, Anul 2013, Mii persoane, 2.3
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA TREI, Anul 2008, Mii persoane, 39.1
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA TREI, Anul 2009, Mii persoane, 46.3
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA TREI, Anul 2010, Mii persoane, 49.9
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA TREI, Anul 2011, Mii persoane, 43.1
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA TREI, Anul 2012, Mii persoane, 55
S  ALTE ACTIVITATI DE SERVICII, Total, MACROREGIUNEA TREI, Anul 2013, Mii persoane, 53
S  ALTE ACTIVITATI DE SERVICII, Total, Regiunea SUD-MUNTENIA, Anul 2008, Mii persoane, 9.8
